Bin	pT	pT	Bkg	bg_err	Data
1	250	300	113069	1889.47	113837
2	300	350	61768.4	1040.4	65430
3	350	400	31905.8	553.604	33571
4	400	450	17166.4	294.467	17720
5	450	500	9679.8	163.881	9726
6	500	550	5623.48	94.5877	5643
7	550	600	3309.59	57.4741	3322
8	600	650	2105.17	37.9377	2108
9	650	700	1310.38	23.9047	1300
10	700	750	857.171	16.4494	888
11	750	800	581.678	11.0994	596
12	800	850	395.32	8.27988	375
13	850	900	276.77	5.8944	256
14	900	950	188.896	4.10436	192
15	950	1000	144.155	3.13497	141
16	1000	1050	100.133	2.27406	98
17	1050	1100	70.2172	1.7219	62
18	1100	1150	54.3529	1.45027	54
19	1150	1200	41.4239	1.0448	37
20	1200	1250	27.8406	0.630106	31
21	1250	1300	21.8897	0.548816	19
22	1300	1350	15.8571	0.398217	20
23	1350	1400	12.312	0.733518	14
24	1400	1450	9.08284	0.739235	13
25	1450	1500	32.3737	3.57239	33
