Bin	MET	MET	HT	HT	Nj	Nj	Nb	Bkg	bg_err_stat+	bg_err_sys+	bg_err_stat-	bg_err_sys-	Data
1	300	350	300	500	2	2	0	20370	120	980	120	960	21626
2	300	350	500	1000	2	2	0	1541	37	82	37	79	1583
3	300	350	1000	Inf.	2	2	0	76.3	9.1	5.5	8.2	5.	102
4	350	500	350	500	2	2	0	13076	93	630	93	620	14019
5	350	500	500	1000	2	2	0	3615	49	180	49	170	3730
6	350	500	1000	Inf.	2	2	0	122.1	9.5	8.6	8.8	7.6	139
7	500	750	500	1000	2	2	0	2883	40	180	40	170	3018
8	500	750	1000	Inf.	2	2	0	77.3	6.8	5.7	6.1	5.4	96
9	750	Inf.	750	1500	2	2	0	330	13	42	12	38	272
10	750	Inf.	1500	Inf.	2	2	0	13.	3.8	2.1	2.5	1.9	12
11	300	350	300	500	2	2	1	2063	33	160	33	160	1904
12	300	350	500	1000	2	2	1	186	15	15	14	14	186
13	300	350	1000	Inf.	2	2	1	8.7	3.4	0.9	2.1	0.8	13
14	350	500	350	500	2	2	1	1376	26	110	26	110	1212
15	350	500	500	1000	2	2	1	379	15	30	15	29	409
16	350	500	1000	Inf.	2	2	1	16.6	3.7	1.6	3.	1.6	27
17	500	750	500	1000	2	2	1	296	9	28	9	27	321
18	500	750	1000	Inf.	2	2	1	12.3	6.8	1.8	4.5	1.7	14
19	750	Inf.	750	1500	2	2	1	38.4	3.9	5.1	3.3	4.8	31
20	750	Inf.	1500	Inf.	2	2	1	1.6	2.	0.3	0.3	0.3	1
21	300	350	300	500	2	2	2	79	7	18	6	18	122
22	300	350	500	1000	2	2	2	8.9	3.5	2.	2.6	1.9	11
23	300	350	1000	Inf.	2	2	2	0.2	2.6	0.1	0.	0.1	0
24	350	500	350	500	2	2	2	53	6	13	6	13	84
25	350	500	500	1000	2	2	2	18.7	4.1	3.8	3.5	3.7	23
26	350	500	1000	Inf.	2	2	2	0.4	1.5	0.1	0.	0.1	2
27	500	750	500	1000	2	2	2	12.1	3.7	3.2	2.1	3.2	16
28	500	750	1000	Inf.	2	2	2	0.2	2.7	0.1	0.	0.1	0
29	750	Inf.	750	1500	2	2	2	1.2	2.1	0.4	0.1	0.4	4
30	750	Inf.	1500	Inf.	2	2	2	0.	2.5	0.	0.	0.	0
31	300	350	300	500	3	4	0	13608	110	560	110	540	14520
32	300	350	500	1000	3	4	0	4640	52	220	52	210	4799
33	300	350	1000	Inf.	3	4	0	356	15	24	15	22	354
34	350	500	350	500	3	4	0	7496	70	330	69	320	7973
35	350	500	500	1000	3	4	0	7547	65	330	64	320	7735
36	350	500	1000	Inf.	3	4	0	506	18	30	17	26	490
37	500	750	500	1000	3	4	0	2785	37	160	37	150	2938
38	500	750	1000	Inf.	3	4	0	284	12	17	12	16	303
39	750	Inf.	750	1500	3	4	0	373	14	44	13	41	334
40	750	Inf.	1500	Inf.	3	4	0	32.2	4.8	4.2	4.	3.9	46
41	300	350	300	500	3	4	1	2667	41	150	41	150	2677
42	300	350	500	1000	3	4	1	981	24	56	24	56	1048
43	300	350	1000	Inf.	3	4	1	78.8	6.9	6.3	6.6	6.	92
44	350	500	350	500	3	4	1	1343	28	82	28	81	1332
45	350	500	500	1000	3	4	1	1407	26	83	26	83	1515
46	350	500	1000	Inf.	3	4	1	93.4	7.1	6.5	6.9	6.2	113
47	500	750	500	1000	3	4	1	449	12	36	12	36	472
48	500	750	1000	Inf.	3	4	1	57.	5.1	4.4	4.9	4.3	57
49	750	Inf.	750	1500	3	4	1	56.8	3.3	7.9	3.	7.4	61
50	750	Inf.	1500	Inf.	3	4	1	6.2	2.	0.8	1.4	0.8	8
51	300	350	300	500	3	4	2	424	18	31	17	31	464
52	300	350	500	1000	3	4	2	235	15	16	15	15	227
53	300	350	1000	Inf.	3	4	2	12.	3.1	1.6	2.5	1.5	17
54	350	500	350	500	3	4	2	166	10	16	10	16	208
55	350	500	500	1000	3	4	2	254	13	20	13	20	286
56	350	500	1000	Inf.	3	4	2	17.7	5.2	1.8	4.6	1.8	25
57	500	750	500	1000	3	4	2	62.1	5.1	7.8	4.8	7.7	64
58	500	750	1000	Inf.	3	4	2	10.5	3.8	1.2	3.1	1.2	13
59	750	Inf.	750	1500	3	4	2	6.6	1.6	1.4	0.3	1.3	4
60	750	Inf.	1500	Inf.	3	4	2	0.7	1.6	0.1	0.1	0.1	1
61	300	350	300	500	3	4	3	22.	4.7	3.9	4.2	3.9	27
62	300	350	500	1000	3	4	3	14.4	4.2	2.4	3.6	2.2	20
63	300	350	1000	Inf.	3	4	3	2.7	2.	2.	0.8	1.5	4
64	350	500	350	500	3	4	3	7.4	2.6	1.9	1.9	1.9	8
65	350	500	500	1000	3	4	3	22.3	7.9	3.8	7.2	3.7	26
66	350	500	1000	Inf.	3	4	3	1.1	1.6	0.7	0.2	0.5	5
67	500	750	500	1000	3	4	3	4.1	3.6	1.	2.	0.9	0
68	500	750	1000	Inf.	3	4	3	0.4	1.4	0.2	0.1	0.2	2
69	750	Inf.	750	1500	3	4	3	0.3	1.4	0.2	0.	0.2	1
70	750	Inf.	1500	Inf.	3	4	3	0.	1.8	0.	0.	0.	0
71	300	350	300	500	5	6	0	922	21	58	21	56	1015
72	300	350	500	1000	5	6	0	1686	27	93	27	88	1673
73	300	350	1000	Inf.	5	6	0	254	11	24	10	22	226
74	350	500	350	500	5	6	0	372	13	29	13	28	464
75	350	500	500	1000	5	6	0	1971	30	99	29	93	2018
76	350	500	1000	Inf.	5	6	0	347	14	22	14	21	320
77	500	750	500	1000	5	6	0	442	14	25	14	24	460
